	symbol	locus_overlap	gene_coordinates	start	end	length	effective_length	A_C_0	A_C_1	A_C_2	A_D_0	A_D_1	A_D_2	B_C_0	B_C_1	B_C_2	B_D_0	B_D_1	B_D_2
GENE01	NA	-	reference:1-700	1	700	700	700	319	351	330	315	331	354	332	337	331	326	329	345
GENE02	NA	-	reference:1001-1800	1001	1800	800	550	327	333	340	329	338	333	352	325	323	315	348	337
GENE03	NA	-	reference:2001-2800	2001	2800	800	650	342	321	337	344	312	344	326	349	325	339	317	344
GENE04	NA	-	reference:3001-3800	3001	3800	800	650	313	337	350	328	339	333	341	350	309	352	318	330
GENE05	NA	-	reference:4001-4800	4001	4800	800	650	304	362	334	346	312	342	306	369	325	327	358	315
GENE06	NA	-	reference:5001-5800	5001	5800	800	650	340	325	335	321	340	339	348	344	308	350	318	332
GENE07	NA	-	reference:6001-6800	6001	6800	800	650	371	311	318	324	333	343	325	318	357	354	323	323
GENE08	NA	-	reference:7001-7800	7001	7800	800	800	324	338	338	342	329	329	322	332	346	351	306	343
GENE09	NA	-	reference:8001-8800	8001	8800	800	800	314	363	323	360	340	300	327	327	346	330	337	333
GENE10	NA	-	reference:9001-9800	9001	9800	800	800	349	322	329	330	327	343	335	334	331	357	329	314
