	feature	event	locus	locus_overlap	symbol	gene_coordinates	start	end	length	A_C_0	A_C_1	A_C_2	A_D_0	A_D_1	A_D_2	B_C_0	B_C_1	B_C_2	B_D_0	B_D_1	B_D_2	A_C_0	A_C_1	A_C_2	A_D_0	A_D_1	A_D_2	B_C_0	B_C_1	B_C_2	B_D_0	B_D_1	B_D_2
GENE01:E001	E	external	GENE01	-	NA	reference:1-700	1	300	300	0.63	0.663333333333333	0.606666666666667	0.593333333333333	0.633333333333333	0.71	0.676666666666667	0.673333333333333	0.696666666666667	0.763333333333333	0.75	0.8	1.38244514106583	1.32288698955366	1.28686868686869	1.31851851851852	1.33937562940584	1.40395480225989	1.42670682730924	1.39861523244313	1.47331319234642	1.63905930470348	1.59574468085106	1.6231884057971
GENE01:E003	E	external	GENE01	-	NA	reference:1-700	501	700	200	0.645	0.655	0.685	0.56	0.685	0.655	0.705	0.685	0.775	0.7	0.755	0.775	1.4153605015674	1.30626780626781	1.4530303030303	1.24444444444444	1.44864048338369	1.29519774011299	1.48644578313253	1.42284866468843	1.63897280966767	1.50306748466258	1.6063829787234	1.57246376811594
GENE02:E001	E	external	GENE02	-	NA	reference:1001-1800	1001	1250	250	0.788	0.824	0.776	0.884	0.92	0.944	0.872	0.868	0.836	0.82	0.904	0.892	1.32538226299694	1.36096096096096	1.25529411764706	1.47781155015198	1.49704142011834	1.55915915915916	1.3625	1.46892307692308	1.42352941176471	1.43174603174603	1.42873563218391	1.45578635014837
GENE02:E002	E	ES	GENE02	-	NA	reference:1001-1800	1301	1400	100	1.07	1.13	1.19	0.2	0.23	0.24	0.8	0.66	0.69	0.67	0.67	0.8	1.79969418960245	1.86636636636637	1.925	0.334346504559271	0.374260355029586	0.396396396396396	1.25	1.11692307692308	1.17492260061919	1.16984126984127	1.05890804597701	1.30563798219585
GENE02:E003	E	external	GENE02	-	NA	reference:1001-1800	1601	1800	200	0.785	0.765	0.835	0.92	0.895	0.92	0.945	0.755	0.79	0.875	0.84	0.76	1.32033639143731	1.26351351351351	1.35073529411765	1.53799392097264	1.45636094674556	1.51951951951952	1.4765625	1.27769230769231	1.34520123839009	1.52777777777778	1.32758620689655	1.24035608308605
GENE03:E001	E	external	GENE03	-	NA	reference:2001-2800	2001	2250	250	0.7	0.696	0.708	0.56	0.544	0.72	0.692	0.736	0.62	0.648	0.592	0.648	1.33040935672515	1.40934579439252	1.36557863501484	1.05813953488372	1.13333333333333	1.36046511627907	1.37975460122699	1.37077363896848	1.24	1.24247787610619	1.21388012618297	1.22441860465116
GENE03:E002	E	Alt5ss	GENE03	-	NA	reference:2001-2800	2251	2350	100	0.2	0.16	0.16	0.73	0.74	0.81	0.54	0.64	0.5	0.99	1.07	1.16	0.380116959064327	0.32398753894081	0.308605341246291	1.37936046511628	1.54166666666667	1.53052325581395	1.07668711656442	1.1919770773639	1	1.89823008849558	2.19400630914827	2.19186046511628
GENE03:E003	E	external	GENE03	-	NA	reference:2001-2800	2501	2800	300	0.786666666666667	0.666666666666667	0.73	0.77	0.663333333333333	0.653333333333333	0.663333333333333	0.683333333333333	0.67	0.616666666666667	0.576666666666667	0.616666666666667	1.49512670565302	1.34994807892004	1.4080118694362	1.45494186046512	1.38194444444444	1.23449612403101	1.32259713701432	1.27268385864374	1.34	1.18239921337266	1.18243953732913	1.16521317829457
GENE04:E001	E	external	GENE04	-	NA	reference:3001-3800	3001	3250	250	0.656	0.668	0.672	0.612	0.752	0.712	0.676	0.672	0.536	0.716	0.62	0.668	1.36230031948882	1.28842729970326	1.248	1.21280487804878	1.44188790560472	1.38978978978979	1.28856304985337	1.248	1.12750809061489	1.32215909090909	1.26729559748428	1.31575757575758
GENE04:E002	E	Alt3ss	GENE04	-	NA	reference:3001-3800	3401	3500	100	1.03	1.04	1.16	0.6	0.6	0.53	0.96	1.05	0.88	0.42	0.31	0.28	2.13897763578275	2.00593471810089	2.15428571428571	1.1890243902439	1.15044247787611	1.03453453453453	1.82991202346041	1.95	1.85113268608414	0.775568181818182	0.633647798742138	0.551515151515152
