	event	locus	locus_overlap	symbol	gene_coordinates	start	end	length	A_C_0	A_C_1	A_C_2	A_D_0	A_D_1	A_D_2	B_C_0	B_C_1	B_C_2	B_D_0	B_D_1	B_D_2
GENE02:I001	-	GENE02	-	NA	reference:1001-1800	1071	1431	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE02:I003	-	GENE02	-	NA	reference:1001-1800	1221	1581	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE03:I002	-	GENE03	-	NA	reference:2001-2800	2171	2531	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE04:I001	-	GENE04	-	NA	reference:3001-3800	3071	3431	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE05:I002	-	GENE05	-	NA	reference:4001-4800	4171	4531	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE06:I003	-	GENE06	-	NA	reference:5001-5800	5271	5631	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE07:I003	-	GENE07	-	NA	reference:6001-6800	6271	6631	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE02:Io003	-	GENE02	-	NA	reference:1001-1800	1071	1431	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE03:Io002	-	GENE03	-	NA	reference:2001-2800	2071	2431	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE04:Io002	-	GENE04	-	NA	reference:3001-3800	3071	3431	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE05:Io001	-	GENE05	-	NA	reference:4001-4800	4071	4431	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE05:Io002	-	GENE05	-	NA	reference:4001-4800	4171	4531	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE06:Io001	-	GENE06	-	NA	reference:5001-5800	5071	5431	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE06:Io002	-	GENE06	-	NA	reference:5001-5800	5171	5531	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE07:Io001	-	GENE07	-	NA	reference:6001-6800	6071	6431	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE08:Io001	-	GENE08	-	NA	reference:7001-7800	7071	7431	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE10:Io001	-	GENE10	-	NA	reference:9001-9800	9071	9431	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE01:E002	IR	GENE01	-	NA	reference:1-700	121	481	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE07:E002	IR*	GENE07	-	NA	reference:6001-6800	6071	6431	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE08:E002	IR*	GENE08	-	NA	reference:7001-7800	7071	7431	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE08:E004	IR*	GENE08	-	NA	reference:7001-7800	7271	7631	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE09:E002	IR	GENE09	-	NA	reference:8001-8800	8071	8431	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE09:E004	IR	GENE09	-	NA	reference:8001-8800	8271	8631	361	0	0	0	0	0	0	0	0	0	0	0	0
GENE10:E002	IR*	GENE10	-	NA	reference:9001-9800	9071	9431	361	0	0	0	0	0	0	0	0	0	0	0	0
