	feature	event	locus	locus_overlap	symbol	gene_coordinates	start	end	length	A_C_0	A_C_1	A_C_2	A_D_0	A_D_1	A_D_2	B_C_0	B_C_1	B_C_2	B_D_0	B_D_1	B_D_2	A_C_0	A_C_1	A_C_2	A_D_0	A_D_1	A_D_2	B_C_0	B_C_1	B_C_2	B_D_0	B_D_1	B_D_2
GENE02:I001	I	-	GENE02	-	NA	reference:1001-1800	1251	1300	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE02:I003	I	-	GENE02	-	NA	reference:1001-1800	1401	1600	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE03:I002	I	-	GENE03	-	NA	reference:2001-2800	2351	2500	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE04:I001	I	-	GENE04	-	NA	reference:3001-3800	3251	3400	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE05:I002	I	-	GENE05	-	NA	reference:4001-4800	4351	4500	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE06:I003	I	-	GENE06	-	NA	reference:5001-5800	5451	5600	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE07:I003	I	-	GENE07	-	NA	reference:6001-6800	6451	6600	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENE02:Io003	Io	-	GENE02	-	NA	reference:1001-1800	1251	1600	350	0.305714285714286	0.322857142857143	0.34	0.0571428571428571	0.0657142857142857	0.0685714285714286	0.228571428571429	0.188571428571429	0.197142857142857	0.191428571428571	0.191428571428571	0.228571428571429	0.514198339886413	0.533247533247533	0.55	0.0955275727312201	0.106931530008453	0.113256113256113	0.357142857142857	0.319120879120879	0.335692171605484	0.334240362811791	0.302545155993432	0.373039423484527
GENE03:Io002	Io	-	GENE03	-	NA	reference:2001-2800	2251	2500	250	0.08	0.064	0.064	0.292	0.296	0.324	0.216	0.256	0.2	0.396	0.428	0.464	0.152046783625731	0.129595015576324	0.123442136498516	0.551744186046512	0.616666666666667	0.612209302325581	0.430674846625767	0.476790830945559	0.4	0.75929203539823	0.877602523659306	0.876744186046512
GENE04:Io002	Io	-	GENE04	-	NA	reference:3001-3800	3251	3500	250	0.412	0.416	0.464	0.24	0.24	0.212	0.384	0.42	0.352	0.168	0.124	0.112	0.855591054313099	0.802373887240356	0.861714285714286	0.475609756097561	0.460176991150442	0.413813813813814	0.731964809384164	0.78	0.740453074433657	0.310227272727273	0.253459119496855	0.220606060606061
GENE05:Io001	Io	-	GENE05	-	NA	reference:4001-4800	4251	4500	250	0.24	0.272	0.292	0.092	0.076	0.092	0.224	0.308	0.236	0.284	0.272	0.272	0.513157894736842	0.488397790055249	0.568263473053892	0.172832369942197	0.158333333333333	0.174853801169591	0.475816993464052	0.542547425474255	0.472	0.564525993883792	0.493854748603352	0.561269841269841
GENE05:Io002	Io	-	GENE05	-	NA	reference:4001-4800	4351	4600	250	0.312	0.392	0.308	0.492	0.464	0.496	0.308	0.356	0.32	0.304	0.316	0.288	0.667105263157895	0.703867403314917	0.59940119760479	0.924277456647399	0.966666666666667	0.942690058479532	0.654248366013072	0.62710027100271	0.64	0.604281345565749	0.573743016759777	0.594285714285714
GENE06:Io001	Io	-	GENE06	-	NA	reference:5001-5800	5251	5600	350	0.5	0.451428571428571	0.44	0.334285714285714	0.391428571428571	0.4	0.357142857142857	0.385714285714286	0.377142857142857	0.297142857142857	0.245714285714286	0.288571428571429	0.955882352941176	0.902857142857143	0.853731343283582	0.676902536715621	0.748319327731092	0.766961651917404	0.667077175697865	0.728820598006644	0.795918367346939	0.551836734693878	0.502246181491464	0.564974182444062
GENE06:Io002	Io	-	GENE06	-	NA	reference:5001-5800	5351	5600	250	0.312	0.284	0.248	0.224	0.28	0.308	0.156	0.132	0.12	0.212	0.22	0.252	0.596470588235294	0.568	0.481194029850746	0.453582554517134	0.535294117647059	0.590560471976401	0.291379310344828	0.249418604651163	0.253246753246753	0.393714285714286	0.449685534591195	0.493373493975904
GENE07:Io001	Io	-	GENE07	-	NA	reference:6001-6800	6251	6600	350	0.362857142857143	0.331428571428571	0.32	0.334285714285714	0.38	0.408571428571429	0.36	0.348571428571429	0.345714285714286	0.288571428571429	0.274285714285714	0.265714285714286	0.635733538698498	0.692696371152963	0.654088050314465	0.670634920634921	0.741741741741742	0.774260724698043	0.72	0.712488769092543	0.629451780712285	0.529862792574657	0.551968155683326	0.534719150818222
GENE08:Io001	Io	-	GENE08	-	NA	reference:7001-7800	7251	7600	350	0.422857142857143	0.437142857142857	0.405714285714286	0.468571428571429	0.508571428571429	0.477142857142857	0.505714285714286	0.505714285714286	0.522857142857143	0.297142857142857	0.251428571428571	0.262857142857143	1.04409171075838	1.03465765004227	0.960270498732037	1.09607351712615	1.23664785062961	1.16022579244464	1.2564330079858	1.21858864027539	1.20891824938068	0.677248677248677	0.657329598506069	0.61307788421491
GENE10:Io001	Io	-	GENE10	-	NA	reference:9001-9800	9251	9450	200	0.57	0.53	0.555	0.405	0.445	0.375	0.29	0.385	0.385	0.5	0.52	0.375	1.30659025787966	1.3167701863354	1.34954407294833	0.981818181818182	1.08868501529052	0.87463556851312	0.692537313432836	0.922155688622755	0.930513595166163	1.12044817927171	1.2644376899696	0.955414012738854
