	symbol	locus_overlap	gene_coordinates	start	end	length	effective_length	A_C_0	A_C_1	A_C_2	A_D_0	A_D_1	A_D_2	B_C_0	B_C_1	B_C_2	B_D_0	B_D_1	B_D_2
GENE01	NA	-	reference:1-700	1	700	700	700	0.455714285714286	0.501428571428571	0.471428571428571	0.45	0.472857142857143	0.505714285714286	0.474285714285714	0.481428571428571	0.472857142857143	0.465714285714286	0.47	0.492857142857143
GENE02	NA	-	reference:1001-1800	1001	1800	800	550	0.594545454545455	0.605454545454545	0.618181818181818	0.598181818181818	0.614545454545455	0.605454545454545	0.64	0.590909090909091	0.587272727272727	0.572727272727273	0.632727272727273	0.612727272727273
GENE03	NA	-	reference:2001-2800	2001	2800	800	650	0.526153846153846	0.493846153846154	0.518461538461538	0.529230769230769	0.48	0.529230769230769	0.501538461538461	0.536923076923077	0.5	0.521538461538462	0.487692307692308	0.529230769230769
GENE04	NA	-	reference:3001-3800	3001	3800	800	650	0.481538461538462	0.518461538461538	0.538461538461538	0.504615384615385	0.521538461538462	0.512307692307692	0.524615384615385	0.538461538461538	0.475384615384615	0.541538461538462	0.489230769230769	0.507692307692308
GENE05	NA	-	reference:4001-4800	4001	4800	800	650	0.467692307692308	0.556923076923077	0.513846153846154	0.532307692307692	0.48	0.526153846153846	0.470769230769231	0.567692307692308	0.5	0.503076923076923	0.550769230769231	0.484615384615385
GENE06	NA	-	reference:5001-5800	5001	5800	800	650	0.523076923076923	0.5	0.515384615384615	0.493846153846154	0.523076923076923	0.521538461538462	0.535384615384615	0.529230769230769	0.473846153846154	0.538461538461538	0.489230769230769	0.510769230769231
GENE07	NA	-	reference:6001-6800	6001	6800	800	650	0.570769230769231	0.478461538461538	0.489230769230769	0.498461538461538	0.512307692307692	0.527692307692308	0.5	0.489230769230769	0.549230769230769	0.544615384615385	0.496923076923077	0.496923076923077
GENE08	NA	-	reference:7001-7800	7001	7800	800	800	0.405	0.4225	0.4225	0.4275	0.41125	0.41125	0.4025	0.415	0.4325	0.43875	0.3825	0.42875
GENE09	NA	-	reference:8001-8800	8001	8800	800	800	0.3925	0.45375	0.40375	0.45	0.425	0.375	0.40875	0.40875	0.4325	0.4125	0.42125	0.41625
GENE10	NA	-	reference:9001-9800	9001	9800	800	800	0.43625	0.4025	0.41125	0.4125	0.40875	0.42875	0.41875	0.4175	0.41375	0.44625	0.41125	0.3925
